AMV €165,000 	 6 Glenview House, 161 Upper Salthill Road, Salthill,   Galway City
AMV €430,000 	 39 Churchfields, Salthill,   Galway City
€195,000 	 21 An Logan, Western Distributor Road, Knocknacarra, Galway, H91 Y7Y0
€55,000 	 Carrigeen West, Craughwell, Galway
AMV €320,000 	 166 Dun na Coiribe, Headford Road,   Galway City
AMV €270,000 	 12 Lenaboy Avenue, Salthill, Galway, H91 WK1H
€35,000 	 Clooncannon Kelly, Ahascragh, Galway
AMV €295,000 	 136 Dun na Coiribe, Headford Road,   Galway City
€195,000 	 46, FEARR AN RI, Doughiska, Galway City
€390,000 	 160 Ros Caoin, Roscam, Galway
AMV €165,000 	 Apt 3 Clan House, 22/23 Dominick Street Upr, City Centre, Galway City
AMV €190,000 	 16 Bowling Green, City Centre, Galway City
AMV €250,000 	 14 Dun na Coiribe, Headford Road,   Galway City
€235,000 	 3 Glasleic House, 4 Ros Geal, Rahoon, Galway, H91 RH56
AMV €185,000 	 307 Tirellan Heights, Headford Road,   Galway City
AMV €125,000 	 26 Cuirt Na Rasai, Galway City, Galway
AMV €298,000 	 20 Larchfield, Renmore, Galway City
AMV €75,000 	 Alloon Upper, Ballymacward, Ballinasloe, Galway
AMV €80,000 	 33 The Grove, Gort, Galway
AMV €235,000 	 12 Caiseal Eala, Spanish Parade, City Centre, Galway City
